Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Function,ASTJsonConverter::visit,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,,,,5,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,,,,11,6,3,,,0,,,,,0,,,0,11,1,0,4,4,1,,,0,3,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,,,,11,6,3,,,0,,,,,0,,,0,12,1,0,4,4,1,,,0,3,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,,,,10,5,3,,,0,,,,,0,,,0,10,1,0,4,4,1,,,0,3,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,,,,11,6,3,,,0,,,,,0,,,0,12,1,0,4,4,1,,,0,3,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,,,,12,7,3,,,0,,,,,0,,,0,13,1,0,4,4,1,,,0,3,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,21,0,,,,21,8,10,,,0,,,,,0,,,0,13,4,1,9,13,3,,,1,9,,,3,3,3,1,1,,,,,0,,1,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,,,,9,4,3,,,0,,,,,0,,,0,9,1,0,4,4,1,,,0,3,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,,,,11,6,3,,,0,,,,,0,,,0,11,1,0,4,4,1,,,0,3,,,2,2,2,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,,,,10,5,3,,,0,,,,,0,,,0,11,1,0,4,4,1,,,0,3,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
