Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Protected Abstract Method,org.ethereum.sync.BlockDownloader.getBlockQueueFreeSize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,1,1,0,,,0,,,,,,,,,1,1,0,1,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,org.ethereum.sync.BlockDownloader.getBlockQueueLimit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,,,,3,1,1,,,0,,,,,,,,,1,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Private Method,org.ethereum.sync.BlockDownloader.headerRetrieveLoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,68,5,,,,63,8,48,,,0,,,,,,,,,32,17,1,29,43,11,,,,32,,,13,13,13,8,12,,,,,12,,1,12,,0.00,,,,
Class,org.ethereum.sync.BlockDownloader.headerRetrieveLoop.(for_loop_2).(Anon_3),,,,,,,1,1,1,1,4,0,4,0,2,3,0,,0,0,,,,,2,0,,,,2,2,,0,,0,0,2,,13,1,,,,12,0,9,,,0,,,,,,,,,,,,3,6,2,,,,4,,,,,,,,2,2,2,1,,1,1,,0,0.00,3,3,3,2
Public Method,org.ethereum.sync.BlockDownloader.headerRetrieveLoop.(for_loop_2).(Anon_3).onFailure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,,,,4,0,3,,,0,,,,,,,,,3,1,0,2,3,1,,,,2,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,org.ethereum.sync.BlockDownloader.headerRetrieveLoop.(for_loop_2).(Anon_3).onSuccess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,,,,5,0,3,,,0,,,,,,,,,3,2,0,1,3,1,,,,2,,,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Method,org.ethereum.sync.BlockDownloader.init,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,26,3,,,,23,1,17,,,0,,,,,,,,,6,4,1,9,14,3,,,,11,,,3,3,3,1,0,,,,,0,,0,0,,0.00,,,,
Class,org.ethereum.sync.BlockDownloader.init.(Anon_1),,,,,,,1,1,1,1,3,0,3,0,2,1,0,,0,0,,,,,1,0,,,,1,1,,0,,0,0,1,,5,0,,,,5,0,4,,,0,,,,,,,,,,,,1,2,1,,,,1,,,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,org.ethereum.sync.BlockDownloader.init.(Anon_1).run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,,,,3,0,2,,,0,,,,,,,,,1,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class,org.ethereum.sync.BlockDownloader.init.(Anon_2),,,,,,,1,1,1,1,3,0,3,0,2,1,0,,0,0,,,,,1,0,,,,1,1,,0,,0,0,1,,5,0,,,,5,0,4,,,0,,,,,,,,,,,,1,2,1,,,,1,,,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
