Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,$.fn.collapse.noConflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,,4,,,4,,0,,0,,,,4,,,,,1,0,,,1,1,,,2,2,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.dropdown.noConflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,,4,,,4,,0,,0,,,,4,,,,,1,0,,,1,1,,,2,2,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.emulateTransitionEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,,0,,8,,,8,,0,,0,,,,8,,,,,1,0,,,6,6,,,6,6,,1,1,1,1,,,,,,,,,,0,,,,,,,
Unnamed Function,$.fn.emulateTransitionEnd.(unnamed_function_3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.emulateTransitionEnd.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,2,0,,,1,1,,,2,2,,2,2,2,1,,,,,,,,,,1,,,,,,,
Function,$.fn.markdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,,0,,8,,,8,,0,,0,,,,8,,,,,1,0,,,3,3,,,3,3,,1,1,1,1,,,,,,,,,,0,,,,,,,
Unnamed Function,$.fn.markdown.(unnamed_function_29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,0,,6,,,6,,0,,0,,,,6,,,,,2,0,,,2,2,,,2,2,,2,2,3,1,,,,,,,,,,1,,,,,,,
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,1,,8,,,8,,2,,2,,,,11,,,,,2,0,,,2,2,,,3,3,,2,2,2,1,,,,,,,,,,1,,,,,,,
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,10,,10,,24,,,24,,7,,7,,,,41,,,,,3,0,,,4,4,,,15,15,,3,3,3,1,,,,,,,,,,2,,,,,,,
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,2,,6,,,6,,2,,2,,,,10,,,,,1,0,,,2,2,,,3,3,,1,1,1,1,,,,,,,,,,0,,,,,,,
